"phrasal_verb","data.derivatives","data.descriptions","data.examples","data.frequency","data.synonyms","data.difficulty","data.tags"
"abide by","[""abides by"",""abiding by"",""abided by""]","[""to follow a rule, decision, or instruction""]","[""Ah, surely,' Maram said, `this is the time to abide by the letter of his rule?"",""They promised to abide by the rules of the contest.""]",0,"[""agree to"",""carry out"",""follow"",""obey""]","Medium",\N
"accord with","[""accords with"",""according with"",""accorded with""]","[""to agree with or be the same as something else""]","[""Hemming’s account does not accord with the police evidence.""]",\N,\N,"Hard",\N
"account for","[""accounts for"",""accounting for"",""accounted for""]","[""if someone is accounted for, you know where they are and so do not worry that they are not where they should be"",""to be the reason why something exists or happens"",""to form, use, or produce a particular amount or part of a group of people or things"",""to give an explanation for something bad that has happened, especially something that you are responsible for"",""to say how you have used, or how you will use, an amount of money that you are responsible for spending, especially in your job"",""used for saying that you think what someone likes is strange""]","[""A number of factors account for the differences between the two scores."",""Electronic goods account for over 30% of our exports."",""He said: 'Every single transaction has been properly accounted for.'"",""How do you account for this sudden improvement in his test scores?"",""Investors were told that over half their savings had vanished and could not be accounted for."",""Male cases account for about 1 per cent of all breast cancer in the country."",""One small child was still not accounted for."",""Retail sales over the internet last month accounted for 11.9 per cent of the total, excluding fuel, a new high."",""She had to account for every penny she spent."",""The increase in carbon dioxide emissions may account for changes in the climate."",""There is simply no accounting for some people's tastes."",""This was fully and properly accounted for and audited."",""This week's deluge of strengthening numbers included improved surveys of construction, manufacturing and, crucially, services, which account for three quarters of the economy."",""You will be brought before the disciplinary panel to account for your behaviour.""]",4,"[""destroy"",""kill [informal]"",""put out of action"",""put paid to""]","Medium",\N
"ache for",\N,"[""to want something or someone very much""]","[""He was so lonely he ached for the sound of a human voice.""]",\N,\N,"Medium",\N
"act as","[""acts as"",""acting as"",""acted as""]","[""to do the job of a particular kind of person or thing""]","[""Body fat acts as an insulator."",""You speak Greek – will you act as interpreter?""]",\N,\N,"Easy",\N
"act on","[""acts on"",""acting on"",""acted on""]","[""to do something because you have been given information, advice, or orders""]","[""I’m acting on the advice of my lawyers."",""They were acting on the instructions of senior managers.""]",\N,\N,"Medium",\N
"act out","[""acts out"",""acting out"",""acted out""]","[""to do something that you have planned or had previously only thought of doing"",""to express your thoughts or feelings through your words or behaviour"",""to show the events that happened in a situation by doing them again or by doing the same things as the people involved""]","[""He was acting out his feelings of inferiority by being overly aggressive."",""He was gone so fast Tesla had no choice but to act out at the same time."",""If something made Ben act out of character and he got drunk and then for some reason he got behind the wheel of that car."",""It's enough to make anyone act out of character, so please - don't feel embarrassed by last night!"",""Just imagining these things is fine, as long as you don’t try to act them out."",""Never empty, we can never act ex nihilo, never act out of whim, never act as God."",""The scenarios that the trainees act out are videotaped.""]",2,\N,"Easy",\N
"act up","[""acts up"",""acting up"",""acted up""]","[""if a part of your body or a piece of equipment acts up, it starts to become painful or to develop problems"",""if children act up, they behave badly""]","[""Agree with your partner how you are going to set boundaries for your stepson when he acts up."",""I hope my back doesn’t start acting up again."",""Indeed, children who are hugely acting up are, in my experience, asking to be assertively managed."",""She began to play truant and acted up at home."",""Surely none of them could possibly be acting up just for the cameras?"",""The kids have been acting up again."",""Use the camera all the time so the family is used to it and stops going shy or acting up.""]",0,"[""carry on [informal]"",""cause trouble"",""mess about"",""misbehave""]","Easy",\N
"act upon",\N,"[""affect"",""to take action because of something like information received""]",\N,\N,\N,"Medium",\N
"add in","[""adds in"",""adding in"",""added in""]","[""to include something as part of something else""]","[""We need to add in some information about his family background.""]",0,\N,"Easy",\N
